Neighbor info at step 0: radial(max=500,actual=28), angular(max=100,actual=28).
Neighbor info at step 1000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 2000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 3000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 4000: radial(max=500,actual=32), angular(max=100,actual=32).
Neighbor info at step 5000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 6000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 7000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 8000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 9000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 10000: radial(max=500,actual=32), angular(max=100,actual=32).
Neighbor info at step 11000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 12000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 13000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 14000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 15000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 16000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 17000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 18000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 19000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 20000: radial(max=500,actual=35), angular(max=100,actual=35).
Neighbor info at step 21000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 22000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 23000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 24000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 25000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 26000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 27000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 28000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 29000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 30000: radial(max=500,actual=35), angular(max=100,actual=35).
Neighbor info at step 31000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 32000: radial(max=500,actual=35), angular(max=100,actual=35).
Neighbor info at step 33000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 34000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 35000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 36000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 37000: radial(max=500,actual=34), angular(max=100,actual=34).
Neighbor info at step 38000: radial(max=500,actual=33), angular(max=100,actual=33).
Neighbor info at step 39000: radial(max=500,actual=35), angular(max=100,actual=35).
Neighbor info at step 40000: radial(max=500,actual=34), angular(max=100,actual=34).
