#radius total type_0_0 type_1_1 type_0_1
0.01000 0.00000 0.00000 0.00000 0.00000
0.03000 0.00000 0.00000 0.00000 0.00000
0.05000 0.00000 0.00000 0.00000 0.00000
0.07000 0.00000 0.00000 0.00000 0.00000
0.09000 0.00000 0.00000 0.00000 0.00000
0.11000 0.00000 0.00000 0.00000 0.00000
0.13000 0.00000 0.00000 0.00000 0.00000
0.15000 0.00000 0.00000 0.00000 0.00000
0.17000 0.00000 0.00000 0.00000 0.00000
0.19000 0.00000 0.00000 0.00000 0.00000
0.21000 0.00000 0.00000 0.00000 0.00000
0.23000 0.00000 0.00000 0.00000 0.00000
0.25000 0.00000 0.00000 0.00000 0.00000
0.27000 0.00000 0.00000 0.00000 0.00000
0.29000 0.00000 0.00000 0.00000 0.00000
0.31000 0.00000 0.00000 0.00000 0.00000
0.33000 0.00000 0.00000 0.00000 0.00000
0.35000 0.00000 0.00000 0.00000 0.00000
0.37000 0.00000 0.00000 0.00000 0.00000
0.39000 0.00000 0.00000 0.00000 0.00000
0.41000 0.00000 0.00000 0.00000 0.00000
0.43000 0.00000 0.00000 0.00000 0.00000
0.45000 0.00000 0.00000 0.00000 0.00000
0.47000 0.00000 0.00000 0.00000 0.00000
0.49000 0.00000 0.00000 0.00000 0.00000
0.51000 0.00000 0.00000 0.00000 0.00000
0.53000 0.00000 0.00000 0.00000 0.00000
0.55000 0.00000 0.00000 0.00000 0.00000
0.57000 0.00000 0.00000 0.00000 0.00000
0.59000 0.00000 0.00000 0.00000 0.00000
0.61000 0.00000 0.00000 0.00000 0.00000
0.63000 0.00000 0.00000 0.00000 0.00000
0.65000 0.00000 0.00000 0.00000 0.00000
0.67000 0.00000 0.00000 0.00000 0.00000
0.69000 0.00000 0.00000 0.00000 0.00000
0.71000 0.00000 0.00000 0.00000 0.00000
0.73000 0.00000 0.00000 0.00000 0.00000
0.75000 0.00000 0.00000 0.00000 0.00000
0.77000 0.00000 0.00000 0.00000 0.00000
0.79000 0.00000 0.00000 0.00000 0.00000
0.81000 0.00000 0.00000 0.00000 0.00000
0.83000 0.00000 0.00000 0.00000 0.00000
0.85000 0.00000 0.00000 0.00000 0.00000
0.87000 0.00136 0.00000 0.00000 0.00307
0.89000 0.04036 0.00000 0.00000 0.09080
0.91000 0.76644 0.00000 0.00000 1.72448
0.93000 4.91859 0.00000 0.00000 11.06683
0.95000 13.62744 0.00000 0.00000 30.66173
0.97000 17.75642 0.00000 0.00000 39.95194
0.99000 12.37698 0.00000 0.00000 27.84821
1.01000 4.98350 0.00000 0.00000 11.21287
1.03000 1.28447 0.00000 0.00000 2.89005
1.05000 0.23289 0.00000 0.00000 0.52400
1.07000 0.02702 0.00000 0.00000 0.06079
1.09000 0.00217 0.00000 0.00000 0.00488
1.11000 0.00084 0.00000 0.00000 0.00188
1.13000 0.00000 0.00000 0.00000 0.00000
1.15000 0.00000 0.00000 0.00000 0.00000
1.17000 0.00000 0.00000 0.00000 0.00000
1.19000 0.00000 0.00000 0.00000 0.00000
1.21000 0.00000 0.00000 0.00000 0.00000
1.23000 0.00000 0.00000 0.00000 0.00000
1.25000 0.00000 0.00000 0.00000 0.00000
1.27000 0.00000 0.00000 0.00000 0.00000
1.29000 0.00031 0.00070 0.00000 0.00000
1.31000 0.00060 0.00135 0.00000 0.00000
1.33000 0.00029 0.00066 0.00000 0.00000
1.35000 0.00283 0.00637 0.00000 0.00000
1.37000 0.00852 0.01916 0.00000 0.00000
1.39000 0.03256 0.07265 0.00000 0.00060
1.41000 0.07702 0.17330 0.00000 0.00000
1.43000 0.17170 0.38576 0.00000 0.00057
1.45000 0.40021 0.89881 0.00000 0.00166
1.47000 0.68024 1.52088 0.00000 0.00966
1.49000 1.01812 2.27770 0.00000 0.01306
1.51000 1.36873 3.05369 0.00000 0.02595
1.53000 1.59219 3.52990 0.00000 0.05253
1.55000 1.65331 3.62288 0.00000 0.09705
1.57000 1.46210 3.15890 0.00000 0.13084
1.59000 1.19530 2.48019 0.00000 0.20924
1.61000 0.87956 1.70512 0.00000 0.27389
1.63000 0.61263 1.04266 0.00000 0.33576
1.65000 0.45262 0.55053 0.00000 0.46786
1.67000 0.35754 0.23710 0.00000 0.56737
1.69000 0.36411 0.11738 0.00000 0.70186
1.71000 0.39249 0.04999 0.00000 0.83312
1.73000 0.42706 0.02016 0.00000 0.94072
1.75000 0.47577 0.00909 0.00000 1.06139
1.77000 0.50984 0.01444 0.00000 1.13270
1.79000 0.55564 0.02390 0.00000 1.22629
1.81000 0.57994 0.03010 0.00000 1.27476
1.83000 0.58180 0.03603 0.00000 1.27303
1.85000 0.61102 0.05152 0.00000 1.32327
1.87000 0.59787 0.07365 0.00000 1.27156
1.89000 0.59856 0.10360 0.00000 1.24317
1.91000 0.58737 0.11289 0.00000 1.20869
1.93000 0.58633 0.13610 0.00000 1.18314
1.95000 0.54128 0.18549 0.00000 1.03239
1.97000 0.55107 0.22867 0.00000 1.01124
1.99000 0.55177 0.28884 0.00000 0.95264
2.01000 0.54773 0.34571 0.00000 0.88668
2.03000 0.54012 0.40143 0.00000 0.81384
2.05000 0.53245 0.45961 0.00000 0.73841
2.07000 0.56264 0.54769 0.00000 0.71826
2.09000 0.54662 0.60020 0.00000 0.62968
2.11000 0.56908 0.69884 0.00000 0.58158
2.13000 0.58765 0.78396 0.00000 0.53824
2.15000 0.61201 0.88288 0.00000 0.49414
2.17000 0.63680 0.98690 0.00000 0.44590
2.19000 0.67306 1.08748 0.00000 0.42691
2.21000 0.69725 1.15957 0.00000 0.40925
2.23000 0.70512 1.22494 0.00000 0.36158
2.25000 0.72319 1.28369 0.00000 0.34349
2.27000 0.74663 1.34559 0.00000 0.33432
2.29000 0.75183 1.39276 0.00000 0.29886
2.31000 0.76544 1.43288 0.00000 0.28936
2.33000 0.76727 1.44621 0.00000 0.28014
2.35000 0.76677 1.46098 0.00000 0.26426
2.37000 0.78390 1.51821 0.00000 0.24557
2.39000 0.77011 1.49596 0.00162 0.23640
2.41000 0.77984 1.50598 0.00240 0.24807
2.43000 0.77675 1.51901 0.00629 0.22711
2.45000 0.74806 1.45953 0.00773 0.22167
2.47000 0.72678 1.40347 0.03194 0.22380
2.49000 0.72580 1.38850 0.07334 0.22621
2.51000 0.72664 1.37714 0.11195 0.22980
2.53000 0.70384 1.30090 0.21023 0.23017
2.55000 0.70045 1.25417 0.33326 0.23852
2.57000 0.70107 1.21717 0.47914 0.24045
2.59000 0.70050 1.16057 0.64401 0.25456
2.61000 0.72493 1.14404 0.89848 0.26242
2.63000 0.71864 1.05224 1.16595 0.27321
2.65000 0.74102 1.03956 1.39423 0.27918
2.67000 0.74775 0.95553 1.72100 0.29665
2.69000 0.78484 0.94378 2.00716 0.32031
2.71000 0.79625 0.90716 2.21269 0.33124
2.73000 0.81659 0.85422 2.46803 0.36610
2.75000 0.83053 0.84000 2.54026 0.39362
2.77000 0.84586 0.82126 2.65429 0.41834
2.79000 0.85596 0.78748 2.71533 0.45961
2.81000 0.85571 0.75662 2.69503 0.49496
2.83000 0.85872 0.74596 2.64143 0.52579
2.85000 0.87470 0.73910 2.61306 0.57571
2.87000 0.87933 0.71729 2.51592 0.63222
2.89000 0.88430 0.71906 2.38066 0.67545
2.91000 0.87967 0.70168 2.20613 0.72606
2.93000 0.88819 0.70416 2.05017 0.78172
2.95000 0.90421 0.68211 1.99207 0.85434
2.97000 0.90540 0.68413 1.82804 0.89600
2.99000 0.92239 0.70187 1.72477 0.94232
3.01000 0.97243 0.69629 1.67068 1.07401
3.03000 0.98642 0.71467 1.53144 1.12192
3.05000 1.00828 0.71107 1.47650 1.18844
3.07000 1.02019 0.70823 1.37462 1.24353
3.09000 1.04196 0.73639 1.29273 1.28483
3.11000 1.08590 0.74674 1.25313 1.38326
3.13000 1.10070 0.73889 1.19075 1.44000
3.15000 1.10563 0.74742 1.14247 1.45463
3.17000 1.14139 0.76688 1.09485 1.52753
3.19000 1.15970 0.79811 1.06384 1.54526
3.21000 1.16736 0.78684 0.97632 1.59564
3.23000 1.17242 0.80237 0.95493 1.59684
3.25000 1.18664 0.82152 0.94277 1.61273
3.27000 1.19946 0.83559 0.89569 1.63927
3.29000 1.20197 0.85225 0.92599 1.62069
3.31000 1.21276 0.86665 0.88179 1.64161
3.33000 1.21549 0.89268 0.85240 1.62907
3.35000 1.20855 0.89353 0.83109 1.61794
3.37000 1.20238 0.91104 0.84536 1.58296
3.39000 1.20676 0.94161 0.82129 1.56828
3.41000 1.19752 0.95614 0.83203 1.53028
3.43000 1.21533 0.99294 0.81092 1.53881
3.45000 1.17373 0.98819 0.82065 1.44754
3.47000 1.18362 1.01691 0.82393 1.44024
3.49000 1.16835 1.02862 0.81299 1.39693
3.51000 1.16922 1.05827 0.78605 1.37597
3.53000 1.16060 1.05888 0.82521 1.34618
3.55000 1.15374 1.08353 0.82698 1.30564
3.57000 1.15319 1.10728 0.83704 1.27813
3.59000 1.15246 1.12126 0.80073 1.27158
3.61000 1.14293 1.14857 0.82785 1.21605
3.63000 1.14598 1.15603 0.80995 1.21994
3.65000 1.13729 1.16943 0.84603 1.17796
3.67000 1.12948 1.17644 0.84441 1.15379
3.69000 1.14586 1.21595 0.81415 1.15869
3.71000 1.12736 1.18939 0.86541 1.13081
3.73000 1.12149 1.19893 0.89751 1.10004
3.75000 1.10138 1.17578 0.86486 1.08611
3.77000 1.12974 1.21566 0.90534 1.09992
3.79000 1.11867 1.21449 0.92230 1.07195
3.81000 1.11832 1.22671 0.89186 1.06656
3.83000 1.11458 1.22184 0.91262 1.05782
3.85000 1.11615 1.21082 0.94981 1.06306
3.87000 1.11807 1.20957 0.98246 1.06046
3.89000 1.10009 1.18789 0.94816 1.05028
3.91000 1.10397 1.18601 0.94729 1.06111
3.93000 1.09140 1.17848 0.97583 1.03321
3.95000 1.08711 1.16025 0.99036 1.03817
3.97000 1.08571 1.15448 0.98865 1.04120
3.99000 1.07670 1.15153 1.00762 1.01913
4.01000 1.06772 1.13185 0.99615 1.02147
4.03000 1.06718 1.13536 1.00857 1.01364
4.05000 1.05864 1.12304 1.01165 1.00599
4.07000 1.06022 1.11315 1.02386 1.01637
4.09000 1.05286 1.09889 1.04466 1.00888
4.11000 1.05830 1.10574 1.05293 1.01220
4.13000 1.04423 1.08546 1.05935 0.99923
4.15000 1.04341 1.09025 1.07072 0.98975
4.17000 1.04393 1.08035 1.07808 0.99896
4.19000 1.03442 1.06788 1.08817 0.98753
4.21000 1.03323 1.07098 1.09696 0.97954
4.23000 1.02210 1.04635 1.08117 0.98308
4.25000 1.02749 1.06299 1.09208 0.97584
4.27000 1.03386 1.06992 1.09969 0.98135
4.29000 1.02601 1.05398 1.10358 0.97865
4.31000 1.01995 1.05421 1.08937 0.96834
4.33000 1.02383 1.05124 1.08403 0.98138
4.35000 1.03024 1.06636 1.12509 0.97042
4.37000 1.01449 1.04350 1.12526 0.95779
4.39000 1.02474 1.05033 1.14128 0.97003
4.41000 1.02117 1.05609 1.13071 0.95886
4.43000 1.01507 1.04120 1.14748 0.95584
4.45000 1.02255 1.04920 1.16601 0.96004
4.47000 1.01466 1.04604 1.16280 0.94624
4.49000 1.01457 1.03013 1.14625 0.96608
4.51000 1.01978 1.04611 1.16896 0.95617
4.53000 1.01580 1.04226 1.15029 0.95571
4.55000 1.01269 1.04281 1.13437 0.95215
4.57000 1.01898 1.05031 1.14513 0.95611
4.59000 1.01056 1.03622 1.14288 0.95181
4.61000 1.01326 1.03304 1.18888 0.94958
4.63000 1.00852 1.03149 1.15590 0.94870
4.65000 1.01000 1.02758 1.14427 0.95885
4.67000 1.00945 1.02002 1.13449 0.96762
4.69000 1.00187 1.00200 1.15226 0.96413
4.71000 1.00844 1.02562 1.13329 0.96004
4.73000 1.00112 1.01032 1.15255 0.95407
4.75000 0.99529 1.00219 1.12045 0.95710
4.77000 1.00151 1.01109 1.12882 0.96011
4.79000 1.00029 1.01081 1.12447 0.95873
4.81000 1.00320 1.01084 1.10270 0.97068
4.83000 0.99769 1.00363 1.08762 0.96927
4.85000 1.00344 1.00805 1.11378 0.97125
4.87000 0.99728 0.99954 1.10759 0.96745
4.89000 0.99095 0.99672 1.08671 0.96125
4.91000 0.99787 0.99612 1.09808 0.97456
4.93000 0.98342 0.97521 1.06399 0.97149
4.95000 0.97654 0.95769 1.04897 0.97729
4.97000 0.97853 0.96132 1.05201 0.97738
4.99000 0.98431 0.97464 1.04061 0.97990
5.01000 0.98528 0.96567 1.06911 0.98393
5.03000 0.97359 0.96360 1.02302 0.97121
5.05000 0.97986 0.95321 1.01748 0.99710
5.07000 0.98153 0.96736 1.00351 0.99020
5.09000 0.98207 0.95821 1.02179 0.99600
5.11000 0.97343 0.95699 0.99995 0.98324
5.13000 0.97420 0.95342 0.98229 0.99296
5.15000 0.97075 0.95539 0.96226 0.98824
5.17000 0.97176 0.95261 0.95865 0.99419
5.19000 0.96794 0.94158 0.96333 0.99546
5.21000 0.97358 0.94432 0.95219 1.00817
5.23000 0.96999 0.94513 0.95527 0.99853
5.25000 0.97041 0.94725 0.93167 1.00327
5.27000 0.97401 0.95080 0.95552 1.00185
5.29000 0.95592 0.94185 0.89260 0.98583
5.31000 0.96951 0.95418 0.90893 0.99998
5.33000 0.96979 0.94483 0.89640 1.01311
5.35000 0.96023 0.94901 0.88047 0.99140
5.37000 0.96924 0.95277 0.89130 1.00519
5.39000 0.95993 0.94296 0.86506 1.00062
5.41000 0.96340 0.94333 0.86152 1.00893
5.43000 0.95901 0.94379 0.86904 0.99671
5.45000 0.96384 0.94586 0.88189 1.00230
5.47000 0.96538 0.95520 0.86304 1.00115
5.49000 0.96038 0.93956 0.86123 1.00599
5.51000 0.96414 0.94696 0.87257 1.00420
5.53000 0.96016 0.94540 0.85898 1.00021
5.55000 0.96410 0.95182 0.85431 1.00383
5.57000 0.96608 0.96193 0.86943 0.99439
5.59000 0.96444 0.96085 0.86232 0.99356
5.61000 0.96384 0.96456 0.85029 0.99150
5.63000 0.96349 0.97056 0.84470 0.98612
5.65000 0.96398 0.96021 0.85297 0.99550
5.67000 0.96906 0.96254 0.86703 1.00108
5.69000 0.96135 0.96403 0.85292 0.98578
5.71000 0.96960 0.97746 0.86716 0.98736
5.73000 0.96627 0.97684 0.85603 0.98327
5.75000 0.96143 0.95928 0.87704 0.98468
