#radius total type_0_0 type_1_1 type_0_1
0.01000 0.00000 0.00000 0.00000 0.00000
0.03000 0.00000 0.00000 0.00000 0.00000
0.05000 0.00000 0.00000 0.00000 0.00000
0.07000 0.00000 0.00000 0.00000 0.00000
0.09000 0.00000 0.00000 0.00000 0.00000
0.11000 0.00000 0.00000 0.00000 0.00000
0.13000 0.00000 0.00000 0.00000 0.00000
0.15000 0.00000 0.00000 0.00000 0.00000
0.17000 0.00000 0.00000 0.00000 0.00000
0.19000 0.00000 0.00000 0.00000 0.00000
0.21000 0.00000 0.00000 0.00000 0.00000
0.23000 0.00000 0.00000 0.00000 0.00000
0.25000 0.00000 0.00000 0.00000 0.00000
0.27000 0.00000 0.00000 0.00000 0.00000
0.29000 0.00000 0.00000 0.00000 0.00000
0.31000 0.00000 0.00000 0.00000 0.00000
0.33000 0.00000 0.00000 0.00000 0.00000
0.35000 0.00000 0.00000 0.00000 0.00000
0.37000 0.00000 0.00000 0.00000 0.00000
0.39000 0.00000 0.00000 0.00000 0.00000
0.41000 0.00000 0.00000 0.00000 0.00000
0.43000 0.00000 0.00000 0.00000 0.00000
0.45000 0.00000 0.00000 0.00000 0.00000
0.47000 0.00000 0.00000 0.00000 0.00000
0.49000 0.00000 0.00000 0.00000 0.00000
0.51000 0.00000 0.00000 0.00000 0.00000
0.53000 0.00000 0.00000 0.00000 0.00000
0.55000 0.00000 0.00000 0.00000 0.00000
0.57000 0.00000 0.00000 0.00000 0.00000
0.59000 0.00000 0.00000 0.00000 0.00000
0.61000 0.00000 0.00000 0.00000 0.00000
0.63000 0.00000 0.00000 0.00000 0.00000
0.65000 0.00000 0.00000 0.00000 0.00000
0.67000 0.00000 0.00000 0.00000 0.00000
0.69000 0.00008 0.00000 0.00000 0.00017
0.71000 0.00035 0.00000 0.00000 0.00080
0.73000 0.00141 0.00000 0.00000 0.00317
0.75000 0.00954 0.00000 0.00000 0.02146
0.77000 0.03264 0.00000 0.00000 0.07344
0.79000 0.10071 0.00000 0.00000 0.22659
0.81000 0.25811 0.00000 0.00000 0.58075
0.83000 0.56658 0.00000 0.00000 1.27480
0.85000 1.11066 0.00000 0.00000 2.49898
0.87000 1.91004 0.00000 0.00000 4.29759
0.89000 2.96983 0.00000 0.00000 6.68211
0.91000 4.11524 0.00000 0.00000 9.25930
0.93000 5.20987 0.00000 0.00000 11.72220
0.95000 5.96262 0.00000 0.00000 13.41588
0.97000 6.29169 0.00000 0.00000 14.15630
0.99000 6.03720 0.00000 0.00000 13.58370
1.01000 5.39509 0.00008 0.00000 12.13887
1.03000 4.48257 0.00015 0.00000 10.08564
1.05000 3.46671 0.00015 0.00000 7.79994
1.07000 2.51920 0.00021 0.00000 5.66799
1.09000 1.71302 0.00041 0.00000 3.85389
1.11000 1.09890 0.00085 0.00000 2.47167
1.13000 0.67500 0.00221 0.00000 1.51654
1.15000 0.39202 0.00438 0.00000 0.87767
1.17000 0.22416 0.00735 0.00000 0.49702
1.19000 0.12098 0.01313 0.00000 0.25907
1.21000 0.06844 0.02182 0.00000 0.13216
1.23000 0.04495 0.03426 0.00000 0.06687
1.25000 0.04064 0.05666 0.00000 0.03477
1.27000 0.04540 0.08633 0.00000 0.01582
1.29000 0.06026 0.12784 0.00000 0.00774
1.31000 0.08707 0.19005 0.00000 0.00586
1.33000 0.12366 0.27146 0.00000 0.00678
1.35000 0.16492 0.36302 0.00000 0.00804
1.37000 0.21874 0.48098 0.00000 0.01119
1.39000 0.28685 0.62888 0.00000 0.01654
1.41000 0.35686 0.78035 0.00000 0.02259
1.43000 0.44068 0.95492 0.00000 0.03661
1.45000 0.52450 1.13143 0.00000 0.04869
1.47000 0.60743 1.29636 0.00000 0.07036
1.49000 0.68524 1.44296 0.00000 0.09883
1.51000 0.74495 1.54933 0.00000 0.12680
1.53000 0.80587 1.64006 0.00000 0.17315
1.55000 0.83518 1.65311 0.00000 0.22604
1.57000 0.85212 1.63791 0.00000 0.27935
1.59000 0.85677 1.57793 0.00000 0.34980
1.61000 0.84736 1.48456 0.00000 0.42199
1.63000 0.81784 1.33706 0.00000 0.50309
1.65000 0.78914 1.18496 0.00000 0.59060
1.67000 0.76086 1.03291 0.00000 0.67902
1.69000 0.73245 0.86866 0.00000 0.77935
1.71000 0.70133 0.71732 0.00000 0.86068
1.73000 0.67574 0.57995 0.00000 0.94048
1.75000 0.65205 0.46503 0.00000 1.00207
1.77000 0.64073 0.37640 0.00000 1.06524
1.79000 0.62652 0.30310 0.00000 1.10658
1.81000 0.61913 0.25625 0.00000 1.13680
1.83000 0.61225 0.23183 0.00000 1.14573
1.85000 0.60638 0.21779 0.00000 1.14657
1.87000 0.60521 0.21703 0.00000 1.14470
1.89000 0.60197 0.23353 0.00000 1.12090
1.91000 0.59604 0.25642 0.00000 1.08466
1.93000 0.59739 0.28773 0.00000 1.05640
1.95000 0.58923 0.32447 0.00000 1.00129
1.97000 0.59010 0.36867 0.00000 0.95906
1.99000 0.58748 0.42139 0.00000 0.90043
2.01000 0.57985 0.46630 0.00000 0.83837
2.03000 0.58471 0.52913 0.00000 0.78646
2.05000 0.58036 0.58264 0.00000 0.72318
2.07000 0.58379 0.64073 0.00000 0.67281
2.09000 0.59627 0.71227 0.00000 0.62933
2.11000 0.60151 0.76862 0.00000 0.58479
2.13000 0.61028 0.83078 0.00000 0.54235
2.15000 0.62072 0.89785 0.00000 0.49877
2.17000 0.63504 0.96219 0.00000 0.46665
2.19000 0.64700 1.02333 0.00000 0.43242
2.21000 0.65617 1.07856 0.00000 0.39782
2.23000 0.66738 1.13205 0.00000 0.36954
2.25000 0.68213 1.18269 0.00000 0.35210
2.27000 0.68653 1.21697 0.00000 0.32772
2.29000 0.69439 1.25714 0.00006 0.30522
2.31000 0.70606 1.29611 0.00042 0.29243
2.33000 0.71015 1.31688 0.00095 0.28073
2.35000 0.71257 1.33481 0.00216 0.26794
2.37000 0.71363 1.34987 0.00395 0.25481
2.39000 0.71101 1.35180 0.00783 0.24601
2.41000 0.70910 1.34980 0.01480 0.24197
2.43000 0.70800 1.34749 0.02579 0.23906
2.45000 0.70105 1.33250 0.04430 0.23379
2.47000 0.70114 1.32137 0.07884 0.23649
2.49000 0.69502 1.29579 0.12670 0.23633
2.51000 0.69821 1.27453 0.20446 0.24533
2.53000 0.69787 1.24683 0.30491 0.24716
2.55000 0.70143 1.21588 0.43288 0.25412
2.57000 0.70814 1.17806 0.60029 0.26519
2.59000 0.72165 1.14719 0.80789 0.27455
2.61000 0.73552 1.11193 1.02412 0.28696
2.63000 0.75447 1.08039 1.26060 0.30202
2.65000 0.77425 1.04487 1.51814 0.31765
2.67000 0.79621 1.00959 1.77503 0.33814
2.69000 0.81719 0.97406 2.00550 0.36324
2.71000 0.83584 0.94121 2.20726 0.38762
2.73000 0.85277 0.90915 2.38507 0.41332
2.75000 0.87123 0.88453 2.51474 0.44704
2.77000 0.88586 0.86625 2.59181 0.47899
2.79000 0.88481 0.83518 2.56603 0.51414
2.81000 0.89136 0.81410 2.56279 0.55077
2.83000 0.90064 0.80121 2.52745 0.59335
2.85000 0.90358 0.78424 2.44422 0.63775
2.87000 0.91058 0.77010 2.37111 0.68593
2.89000 0.91329 0.76535 2.23641 0.73046
2.91000 0.92085 0.75488 2.14875 0.77986
2.93000 0.92908 0.74511 2.02418 0.83928
2.95000 0.94100 0.73978 1.92916 0.89518
2.97000 0.95386 0.74555 1.81750 0.94626
2.99000 0.96431 0.73781 1.69909 1.00712
3.01000 0.97566 0.73841 1.60356 1.05592
3.03000 0.99307 0.74064 1.51720 1.11447
3.05000 1.00840 0.74152 1.44272 1.16670
3.07000 1.02687 0.74725 1.34668 1.22653
3.09000 1.04027 0.75290 1.27134 1.26986
3.11000 1.06009 0.76076 1.21104 1.32168
3.13000 1.07830 0.76525 1.17136 1.36809
3.15000 1.09785 0.78073 1.11231 1.41135
3.17000 1.11186 0.78218 1.07435 1.45092
3.19000 1.12673 0.79594 1.03317 1.48091
3.21000 1.13576 0.80530 0.99850 1.50053
3.23000 1.15298 0.81932 0.98228 1.52931
3.25000 1.16178 0.82936 0.96215 1.54411
3.27000 1.16846 0.84479 0.93199 1.55124
3.29000 1.17956 0.85409 0.92367 1.56899
3.31000 1.18601 0.87003 0.91369 1.57008
3.33000 1.18830 0.89010 0.89378 1.56012
3.35000 1.19078 0.89911 0.88578 1.55871
3.37000 1.18886 0.92065 0.86611 1.53775
3.39000 1.18836 0.93474 0.85575 1.52512
3.41000 1.19000 0.95090 0.86637 1.51001
3.43000 1.18539 0.96662 0.84951 1.48814
3.45000 1.17939 0.98205 0.83355 1.46320
3.47000 1.17820 0.99903 0.83589 1.44294
3.49000 1.17391 1.01558 0.83765 1.41631
3.51000 1.16532 1.02902 0.83276 1.38477
3.53000 1.16253 1.04855 0.82691 1.36040
3.55000 1.15722 1.06693 0.83127 1.32900
3.57000 1.15613 1.07857 0.83827 1.31315
3.59000 1.15061 1.09674 0.84040 1.28202
3.61000 1.14410 1.10956 0.84761 1.25276
3.63000 1.14307 1.12306 0.84751 1.23696
3.65000 1.13495 1.13125 0.85004 1.20988
3.67000 1.13505 1.14256 0.86841 1.19420
3.69000 1.12795 1.15098 0.86621 1.17036
3.71000 1.12550 1.16259 0.88618 1.14824
3.73000 1.12528 1.17266 0.89441 1.13562
3.75000 1.12009 1.17561 0.90142 1.11923
3.77000 1.11899 1.18077 0.90724 1.11014
3.79000 1.11733 1.18683 0.90589 1.10069
3.81000 1.11129 1.18555 0.91506 1.08608
3.83000 1.10885 1.18222 0.92375 1.08177
3.85000 1.10630 1.18603 0.94817 1.06611
3.87000 1.10034 1.18249 0.95077 1.05559
3.89000 1.09795 1.17962 0.97013 1.04823
3.91000 1.09291 1.17511 0.97438 1.04034
3.93000 1.09015 1.17438 0.96586 1.03699
3.95000 1.08158 1.16287 0.97103 1.02792
3.97000 1.07882 1.15805 0.97485 1.02557
3.99000 1.07590 1.15419 0.99554 1.01769
4.01000 1.07003 1.14388 1.01262 1.01054
4.03000 1.06744 1.13656 1.02543 1.00882
4.05000 1.06558 1.13526 1.02736 1.00544
4.07000 1.05781 1.12101 1.04102 0.99881
4.09000 1.05629 1.11773 1.04586 0.99746
4.11000 1.05483 1.11306 1.05072 0.99761
4.13000 1.04933 1.10055 1.06066 0.99528
4.15000 1.04456 1.09541 1.07481 0.98614
4.17000 1.04326 1.08970 1.07577 0.98870
4.19000 1.04126 1.08582 1.08216 0.98647
4.21000 1.03672 1.07979 1.07875 0.98314
4.23000 1.03392 1.07537 1.08577 0.97950
4.25000 1.02954 1.06926 1.08502 0.97595
4.27000 1.02860 1.06863 1.09316 0.97242
4.29000 1.02924 1.06264 1.11418 0.97461
4.31000 1.02759 1.06242 1.12965 0.96725
4.33000 1.02748 1.06185 1.13447 0.96637
4.35000 1.02330 1.05452 1.13861 0.96325
4.37000 1.02208 1.05694 1.13624 0.95867
4.39000 1.02152 1.05215 1.14305 0.96050
4.41000 1.01810 1.05054 1.14987 0.95270
4.43000 1.01732 1.04635 1.14885 0.95541
4.45000 1.01806 1.04618 1.15745 0.95510
4.47000 1.01546 1.04188 1.14667 0.95625
4.49000 1.01427 1.04207 1.15658 0.95089
4.51000 1.01280 1.04011 1.15486 0.94997
4.53000 1.01293 1.04035 1.15046 0.95113
4.55000 1.01108 1.03541 1.15422 0.95098
4.57000 1.00678 1.03275 1.13710 0.94823
4.59000 1.00783 1.03175 1.13519 0.95206
4.61000 1.00473 1.03035 1.12512 0.94902
4.63000 1.00099 1.02690 1.12146 0.94498
4.65000 0.99810 1.01976 1.11939 0.94611
4.67000 0.99806 1.02114 1.10929 0.94718
4.69000 0.99575 1.01679 1.10903 0.94638
4.71000 0.99730 1.01909 1.11401 0.94633
4.73000 0.99525 1.01021 1.11441 0.95050
4.75000 0.99657 1.01093 1.11205 0.95333
4.77000 0.99122 1.00473 1.10439 0.94942
4.79000 0.99166 1.00625 1.09378 0.95154
4.81000 0.98927 0.99998 1.08987 0.95341
4.83000 0.99146 0.99959 1.08165 0.96077
4.85000 0.99097 0.99306 1.08129 0.96631
4.87000 0.98838 0.99018 1.07632 0.96461
4.89000 0.98722 0.98660 1.06424 0.96858
4.91000 0.98887 0.98616 1.06251 0.97316
4.93000 0.98738 0.98019 1.05864 0.97676
4.95000 0.98394 0.97534 1.04133 0.97821
4.97000 0.98280 0.97320 1.03609 0.97909
4.99000 0.98153 0.97115 1.02770 0.98037
5.01000 0.98185 0.97007 1.02027 0.98402
5.03000 0.98178 0.96908 1.00998 0.98742
5.05000 0.97969 0.96267 1.00326 0.99081
5.07000 0.97822 0.96143 0.98480 0.99338
5.09000 0.97688 0.95809 0.97686 0.99567
5.11000 0.97624 0.95696 0.96595 0.99809
5.13000 0.97392 0.95537 0.96054 0.99582
5.15000 0.97490 0.95425 0.95393 1.00080
5.17000 0.97347 0.95069 0.95527 1.00079
5.19000 0.97187 0.94911 0.94081 1.00239
5.21000 0.97133 0.95032 0.94534 0.99885
5.23000 0.97246 0.94661 0.94277 1.00575
5.25000 0.97115 0.94682 0.94011 1.00325
5.27000 0.96752 0.94304 0.92051 1.00377
5.29000 0.96983 0.94913 0.91404 1.00448
5.31000 0.96775 0.94522 0.90607 1.00569
5.33000 0.96814 0.94723 0.90219 1.00553
5.35000 0.96821 0.94464 0.90026 1.00876
5.37000 0.96873 0.94767 0.89176 1.00903
5.39000 0.96650 0.94580 0.88848 1.00671
5.41000 0.96910 0.94823 0.88236 1.01165
5.43000 0.96819 0.94975 0.87863 1.00901
5.45000 0.96781 0.95018 0.87025 1.00984
5.47000 0.96830 0.95138 0.87063 1.00962
5.49000 0.96696 0.95391 0.86266 1.00608
5.51000 0.96560 0.95565 0.85368 1.00352
5.53000 0.96331 0.95238 0.85649 1.00096
5.55000 0.96380 0.95526 0.85498 0.99953
5.57000 0.96469 0.95980 0.85204 0.99774
5.59000 0.96476 0.96033 0.86206 0.99486
5.61000 0.96307 0.95963 0.85818 0.99273
5.63000 0.96341 0.96133 0.86283 0.99064
5.65000 0.96467 0.96674 0.86465 0.98761
5.67000 0.96368 0.96587 0.86421 0.98637
5.69000 0.96271 0.96704 0.86726 0.98224
5.71000 0.96363 0.96927 0.86519 0.98260
5.73000 0.96347 0.97230 0.87602 0.97651
5.75000 0.96496 0.97042 0.88020 0.98068
